Reference_Year,Reference,Age_Years,Age_Months,Entry_Date,Breed_Code,Description,Dangerous,Gender,Color,Size,Animal_Name,Observations_Web,Link,Age_Years_Total
2023,533-23,2,0,2023-05-22,STAR,Staffordshire Terrier Am.,,M,"marro xoco, pit blanc",M,GOLFO2,"Gulf2 is an Active and Energy Dog, But Those Who Like To Go Quietly Walks and Make Stalls for Caricies.He Does Not Share with other Dogs at The Moment.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/533-23.jpg,2.0
2023,1095-23,0,11,2023-10-17,EURO,European,,F,tigrat-tricolor,M,PERLA2,The Pearl2 Arrived with Sub Brothers and with Eye Problems.,http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1095-23.jpg,0.9166666666666666
2024,191-24,5,2,2024-03-24,EURO,European,,M,tigrat,G,OLI,"The Oil is a quiet and affection cat, who can share Space with Other Dogs.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/191-24.jpg,5.166666666666667
2024,277-24,3,1,2024-04-30,INDE,Indefinite,,M,blanc i mrr,G,TORRÓ,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/277-24.jpg,3.0833333333333335
2024,243-24,2,9,2024-04-16,INDE,Indefinite,,M,negre,G,MICENAS,"Error: Sequence Item 0: Experience Str Instance, Nonetype Found",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/243-24.jpg,2.75
2023,677-23,5,4,2023-06-22,STAR,Staffordshire Terrier Am.,,F,marró-blanc,M,MEGA,"Mega is a bitch initially reserved, but affection when",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/677-23.jpg,5.333333333333333
2023,807-23,8,10,2023-07-24,EURO,European,,F,bl-ng,G,FLOWERS,"The Flowers is a see quiet and a little reserved cat, which Shares Space with other cats without problems.I have suffered to Liver Problem, so He has takes Daily Preventive Medication.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/807-23.jpg,8.833333333333334
2023,1048-23,6,9,2023-10-04,STAR,Staffordshire Terrier Am.,,F,ng,G,TINA2,"Tina2 is a vary affection Bitch with People, Who Shares Space with Other Dogs.it is with Treatment for Leishmania to License is Needed for Adoption.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1048-23.jpg,6.75
2023,1235-23,7,2,2023-11-24,PALE,German Shepherd,,M,pròpia,G,ZED,"Zed is an Active and Affectionate Dog, Who Shares Space Withher Dogs.it You Have Discomfort at The Lumbosacra Level, So it Takes Daily Medication and Wouold have to do a moderate exercise.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/1235-23.jpg,7.166666666666667
2023,816-23,1,10,2023-07-27,INDE,Indefinite,,M,Marró,G,POT,"The Jar is an Active and Energetic Dog, A Quiet Time for A Walk and Affectionate With The People.HE IS WITH TREATMENT FOR LEISHMANIA.LICENSE IS NEEDED FOR ADOPTION.",http://adoptam.terrassa.cat/wp-content/uploads/2024/06/816-23.jpg,1.8333333333333335
